feedback_id,customer_name,feedback,date,product,clean_feedback
113,Arun,Average experience,2025-01-07,Laptop,average experience
114,Divya,"Amazing experience, highly recommend",2025-07-27,Internet Service,amazing experience highly recommend
115,Karthik,Very bad experience and disappointed,2025-03-21,Mobile,very bad experience disappointed
116,Sneha,"Amazing experience, highly recommend",2025-04-14,E-commerce,amazing experience highly recommend
117,Karthik,Worst product ever,2025-06-11,Mobile App,worst product ever
118,Rahul,"Amazing experience, highly recommend",2025-07-04,Mobile,amazing experience highly recommend
119,Divya,Support team was very helpful,2025-05-20,E-commerce,support team very helpful
120,Rahul,"Amazing experience, highly recommend",2025-12-22,Mobile,amazing experience highly recommend
121,Karthik,Customer support did not respond,2025-08-21,Internet Service,customer support did not respond
122,Sneha,"Amazing experience, highly recommend",2025-04-14,Mobile App,amazing experience highly recommend
123,Pooja,"Amazing experience, highly recommend",2025-01-26,E-commerce,amazing experience highly recommend
124,Arun,Okay for the price,2025-08-23,Laptop,okay price
125,Divya,Support team was very helpful,2025-05-09,Smart Watch,support team very helpful
126,Rahul,Poor quality and waste of money,2025-09-02,E-commerce,poor quality waste money
127,Suresh,Nothing special,2025-11-24,Banking App,nothing special
128,Anitha,Customer support did not respond,2025-01-19,Smart Watch,customer support did not respond
129,Sneha,Very bad experience and disappointed,2025-04-19,Mobile App,very bad experience disappointed
130,Pooja,Customer support did not respond,2025-03-11,Internet Service,customer support did not respond
131,Karthik,Worst product ever,2025-03-16,E-commerce,worst product ever
132,Anitha,Nothing special,2025-12-06,Headphones,nothing special
133,Karthik,Excellent quality and very satisfied,2025-01-29,Headphones,excellent quality very satisfied
134,Divya,Nothing special,2025-01-31,Headphones,nothing special
135,Suresh,Great service and fast delivery,2025-08-30,Mobile App,great service fast delivery
136,Suresh,Average experience,2025-05-06,Headphones,average experience
137,Karthik,Delivery was too late,2025-06-14,E-commerce,delivery too late
138,Anitha,"Amazing experience, highly recommend",2025-07-15,Banking App,amazing experience highly recommend
139,Arun,Okay for the price,2025-05-10,Mobile App,okay price
140,Sneha,Great service and fast delivery,2025-02-27,E-commerce,great service fast delivery
141,Suresh,Okay for the price,2025-03-28,Mobile App,okay price
142,Divya,Delivery was too late,2025-09-15,Laptop,delivery too late
143,Priya,Nothing special,2025-11-22,Smart Watch,nothing special
144,Pooja,Acceptable performance,2025-07-19,Mobile,acceptable performance
145,Arun,"Amazing experience, highly recommend",2025-05-05,Mobile,amazing experience highly recommend
146,Rahul,Very bad experience and disappointed,2025-08-24,Headphones,very bad experience disappointed
147,Rahul,Poor quality and waste of money,2025-12-21,Mobile App,poor quality waste money
148,Pooja,Average experience,2025-06-23,Laptop,average experience
149,Rahul,Average experience,2025-05-01,Mobile,average experience
150,Anitha,Delivery was too late,2025-07-27,E-commerce,delivery too late
151,Priya,Okay for the price,2025-11-18,Internet Service,okay price
152,Pooja,Average experience,2025-11-14,Smart Watch,average experience
153,Priya,Average experience,2025-04-04,Laptop,average experience
154,Karthik,Very happy with the product,2025-03-17,Banking App,very happy product
155,Suresh,Acceptable performance,2025-06-30,Laptop,acceptable performance
156,Divya,Poor quality and waste of money,2025-10-13,Banking App,poor quality waste money
157,Suresh,Great service and fast delivery,2025-02-23,Mobile App,great service fast delivery
158,Priya,Acceptable performance,2025-03-27,Mobile,acceptable performance
159,Manoj,Support team was very helpful,2025-05-07,E-commerce,support team very helpful
160,Manoj,Great service and fast delivery,2025-08-10,Headphones,great service fast delivery
161,Suresh,Nothing special,2025-01-06,E-commerce,nothing special
162,Manoj,Delivery was too late,2025-02-19,Mobile,delivery too late
163,Pooja,Decent product,2025-11-12,Smart Watch,decent product
164,Sneha,Support team was very helpful,2025-10-27,Smart Watch,support team very helpful
165,Karthik,Customer support did not respond,2025-02-23,Internet Service,customer support did not respond
166,Karthik,Support team was very helpful,2025-09-17,Smart Watch,support team very helpful
167,Rahul,"Amazing experience, highly recommend",2025-03-14,Mobile App,amazing experience highly recommend
168,Arun,Worst product ever,2025-07-30,E-commerce,worst product ever
169,Anitha,Decent product,2025-08-20,Internet Service,decent product
170,Pooja,"Amazing experience, highly recommend",2025-02-01,E-commerce,amazing experience highly recommend
171,Pooja,Delivery was too late,2025-12-11,Headphones,delivery too late
172,Sneha,Nothing special,2025-10-22,Headphones,nothing special
173,Karthik,Very bad experience and disappointed,2025-03-10,E-commerce,very bad experience disappointed
174,Divya,Acceptable performance,2025-12-10,Smart Watch,acceptable performance
175,Manoj,Excellent quality and very satisfied,2025-06-30,Headphones,excellent quality very satisfied
176,Divya,Support team was very helpful,2025-01-11,Laptop,support team very helpful
177,Manoj,Support team was very helpful,2025-05-18,Mobile,support team very helpful
178,Arun,Customer support did not respond,2025-08-10,Smart Watch,customer support did not respond
179,Anitha,Support team was very helpful,2025-02-15,Mobile App,support team very helpful
180,Sneha,Average experience,2025-08-18,Mobile App,average experience
181,Priya,Average experience,2025-05-06,Headphones,average experience
182,Anitha,Support team was very helpful,2025-03-07,Laptop,support team very helpful
183,Divya,Acceptable performance,2025-09-09,E-commerce,acceptable performance
184,Suresh,Poor quality and waste of money,2025-11-11,Mobile App,poor quality waste money
185,Anitha,Decent product,2025-11-13,Laptop,decent product
186,Divya,Average experience,2025-03-03,Laptop,average experience
187,Arun,Nothing special,2025-04-22,Headphones,nothing special
188,Pooja,Average experience,2025-05-19,Smart Watch,average experience
189,Manoj,Very bad experience and disappointed,2025-10-17,Mobile,very bad experience disappointed
190,Sneha,Very happy with the product,2025-01-05,Internet Service,very happy product
191,Rahul,Acceptable performance,2025-03-01,Mobile App,acceptable performance
192,Priya,"Amazing experience, highly recommend",2025-10-26,Internet Service,amazing experience highly recommend
193,Divya,Very bad experience and disappointed,2025-07-07,E-commerce,very bad experience disappointed
194,Divya,Decent product,2025-08-24,Laptop,decent product
195,Rahul,Great service and fast delivery,2025-01-09,Banking App,great service fast delivery
196,Sneha,Delivery was too late,2025-09-26,Mobile,delivery too late
197,Anitha,Worst product ever,2025-03-28,Mobile,worst product ever
198,Pooja,Very bad experience and disappointed,2025-04-03,E-commerce,very bad experience disappointed
199,Suresh,Very bad experience and disappointed,2025-05-16,Headphones,very bad experience disappointed
200,Divya,Decent product,2025-04-05,Smart Watch,decent product
201,Arun,Great service and fast delivery,2025-11-11,Mobile App,great service fast delivery
202,Suresh,Decent product,2025-02-21,E-commerce,decent product
203,Anitha,Acceptable performance,2025-07-11,Smart Watch,acceptable performance
204,Divya,"Amazing experience, highly recommend",2025-05-31,Laptop,amazing experience highly recommend
205,Anitha,Very happy with the product,2025-07-27,Mobile,very happy product
206,Sneha,Delivery was too late,2025-04-16,Mobile,delivery too late
207,Manoj,Very happy with the product,2025-12-15,Internet Service,very happy product
208,Suresh,Acceptable performance,2025-11-30,Headphones,acceptable performance
209,Pooja,Acceptable performance,2025-08-07,Banking App,acceptable performance
210,Divya,Acceptable performance,2025-05-04,Mobile App,acceptable performance
211,Pooja,Nothing special,2025-01-19,Smart Watch,nothing special
212,Priya,"Amazing experience, highly recommend",2025-03-27,Banking App,amazing experience highly recommend
213,Pooja,Acceptable performance,2025-10-20,Mobile App,acceptable performance
214,Divya,Great service and fast delivery,2025-09-30,Headphones,great service fast delivery
215,Karthik,Excellent quality and very satisfied,2025-06-21,Smart Watch,excellent quality very satisfied
216,Karthik,Nothing special,2025-07-06,Mobile App,nothing special
217,Divya,Excellent quality and very satisfied,2025-07-10,Laptop,excellent quality very satisfied
218,Sneha,Okay for the price,2025-02-03,Laptop,okay price
219,Priya,Very bad experience and disappointed,2025-06-14,Internet Service,very bad experience disappointed
220,Arun,Excellent quality and very satisfied,2025-08-22,Headphones,excellent quality very satisfied
221,Rahul,Acceptable performance,2025-09-22,Internet Service,acceptable performance
222,Anitha,Support team was very helpful,2025-12-07,Smart Watch,support team very helpful
223,Karthik,Very happy with the product,2025-08-12,Laptop,very happy product
224,Pooja,"Amazing experience, highly recommend",2025-02-03,Headphones,amazing experience highly recommend
225,Sneha,Decent product,2026-01-01,Laptop,decent product
226,Manoj,Decent product,2025-02-04,Mobile,decent product
227,Rahul,Okay for the price,2025-11-30,Mobile App,okay price
228,Arun,Decent product,2025-02-04,Headphones,decent product
229,Divya,Okay for the price,2025-09-30,Headphones,okay price
230,Arun,Okay for the price,2025-07-07,Mobile App,okay price
231,Pooja,Excellent quality and very satisfied,2025-11-14,Headphones,excellent quality very satisfied
232,Sneha,Poor quality and waste of money,2025-01-06,Laptop,poor quality waste money
233,Sneha,Great service and fast delivery,2025-03-07,Mobile,great service fast delivery
234,Divya,Decent product,2025-11-01,E-commerce,decent product
235,Pooja,Worst product ever,2025-08-16,Mobile App,worst product ever
236,Divya,Support team was very helpful,2025-07-20,Headphones,support team very helpful
237,Pooja,"Amazing experience, highly recommend",2025-06-24,Headphones,amazing experience highly recommend
238,Divya,Delivery was too late,2025-05-26,Internet Service,delivery too late
239,Suresh,Worst product ever,2025-07-31,Headphones,worst product ever
240,Divya,Decent product,2025-12-06,Smart Watch,decent product
241,Rahul,Delivery was too late,2025-01-15,E-commerce,delivery too late
242,Divya,Nothing special,2025-01-11,Mobile App,nothing special
243,Karthik,Customer support did not respond,2025-08-01,Banking App,customer support did not respond
244,Priya,"Amazing experience, highly recommend",2025-11-07,E-commerce,amazing experience highly recommend
245,Sneha,Customer support did not respond,2025-06-01,Mobile,customer support did not respond
246,Manoj,Delivery was too late,2025-04-04,E-commerce,delivery too late
247,Suresh,Nothing special,2025-01-12,Banking App,nothing special
248,Sneha,Okay for the price,2025-11-08,E-commerce,okay price
249,Arun,Very bad experience and disappointed,2025-12-10,Internet Service,very bad experience disappointed
250,Suresh,Excellent quality and very satisfied,2025-08-13,Laptop,excellent quality very satisfied
251,Pooja,"Amazing experience, highly recommend",2025-09-05,Internet Service,amazing experience highly recommend
252,Arun,Poor quality and waste of money,2025-08-07,Headphones,poor quality waste money
253,Manoj,Delivery was too late,2025-02-21,Internet Service,delivery too late
254,Priya,Very bad experience and disappointed,2025-04-04,Laptop,very bad experience disappointed
255,Pooja,Very happy with the product,2025-02-14,E-commerce,very happy product
256,Manoj,Excellent quality and very satisfied,2025-01-01,Mobile App,excellent quality very satisfied
257,Priya,Very bad experience and disappointed,2025-04-03,Internet Service,very bad experience disappointed
258,Karthik,Nothing special,2025-03-22,Mobile,nothing special
259,Arun,Okay for the price,2025-11-16,Headphones,okay price
260,Priya,Poor quality and waste of money,2025-06-19,Mobile,poor quality waste money
261,Priya,Average experience,2025-10-31,Internet Service,average experience
262,Arun,"Amazing experience, highly recommend",2025-08-13,Headphones,amazing experience highly recommend
263,Divya,"Amazing experience, highly recommend",2025-01-29,Smart Watch,amazing experience highly recommend
264,Suresh,"Amazing experience, highly recommend",2025-05-03,Banking App,amazing experience highly recommend
265,Priya,Poor quality and waste of money,2025-12-23,Mobile App,poor quality waste money
266,Pooja,Worst product ever,2025-08-23,Smart Watch,worst product ever
267,Priya,Okay for the price,2025-04-19,Mobile,okay price
268,Priya,Very happy with the product,2025-10-29,Headphones,very happy product
269,Divya,Okay for the price,2025-09-19,Internet Service,okay price
270,Sneha,Acceptable performance,2025-06-02,E-commerce,acceptable performance
271,Divya,Very bad experience and disappointed,2025-12-05,Banking App,very bad experience disappointed
272,Divya,Very happy with the product,2025-05-16,E-commerce,very happy product
273,Arun,Acceptable performance,2025-04-02,Smart Watch,acceptable performance
274,Rahul,Acceptable performance,2025-10-23,E-commerce,acceptable performance
275,Anitha,Very happy with the product,2025-03-21,Mobile App,very happy product
276,Rahul,Nothing special,2025-10-17,Mobile,nothing special
277,Sneha,Worst product ever,2025-11-12,Headphones,worst product ever
278,Rahul,Worst product ever,2025-10-10,E-commerce,worst product ever
279,Suresh,Worst product ever,2025-09-04,Mobile App,worst product ever
280,Pooja,Great service and fast delivery,2025-05-15,Banking App,great service fast delivery
281,Sneha,"Amazing experience, highly recommend",2025-04-01,Headphones,amazing experience highly recommend
282,Anitha,Poor quality and waste of money,2025-01-24,Headphones,poor quality waste money
283,Pooja,Okay for the price,2025-07-12,Mobile App,okay price
284,Anitha,Customer support did not respond,2025-04-01,Internet Service,customer support did not respond
285,Priya,Okay for the price,2025-07-27,Laptop,okay price
286,Rahul,Worst product ever,2025-08-19,Mobile App,worst product ever
287,Pooja,Support team was very helpful,2025-12-23,Banking App,support team very helpful
288,Suresh,Nothing special,2025-04-13,Laptop,nothing special
289,Anitha,Decent product,2025-06-14,Banking App,decent product
290,Suresh,Customer support did not respond,2025-10-31,Headphones,customer support did not respond
291,Anitha,Customer support did not respond,2025-01-27,Mobile,customer support did not respond
292,Rahul,Customer support did not respond,2025-04-08,Headphones,customer support did not respond
293,Pooja,Poor quality and waste of money,2025-04-21,Headphones,poor quality waste money
294,Priya,Nothing special,2025-05-09,Laptop,nothing special
295,Pooja,Average experience,2025-01-27,E-commerce,average experience
296,Suresh,Decent product,2025-06-02,Mobile App,decent product
297,Pooja,Excellent quality and very satisfied,2025-07-22,Laptop,excellent quality very satisfied
298,Priya,Excellent quality and very satisfied,2025-06-07,Internet Service,excellent quality very satisfied
299,Karthik,Poor quality and waste of money,2025-07-27,Banking App,poor quality waste money
300,Suresh,Okay for the price,2025-12-06,Headphones,okay price
301,Priya,Okay for the price,2025-06-10,E-commerce,okay price
302,Priya,Excellent quality and very satisfied,2025-09-28,Mobile,excellent quality very satisfied
303,Pooja,Delivery was too late,2025-03-13,Headphones,delivery too late
304,Arun,Great service and fast delivery,2025-02-06,Smart Watch,great service fast delivery
305,Karthik,Average experience,2025-05-30,Mobile App,average experience
306,Pooja,Support team was very helpful,2025-06-11,E-commerce,support team very helpful
307,Priya,Delivery was too late,2025-03-22,Mobile App,delivery too late
308,Priya,Excellent quality and very satisfied,2025-02-05,Internet Service,excellent quality very satisfied
309,Sneha,Support team was very helpful,2025-11-28,Headphones,support team very helpful
310,Anitha,Decent product,2025-01-31,Mobile,decent product
311,Sneha,Okay for the price,2025-08-13,Internet Service,okay price
312,Anitha,Nothing special,2025-03-17,Banking App,nothing special
313,Rahul,Acceptable performance,2025-11-01,E-commerce,acceptable performance
314,Anitha,Very happy with the product,2025-06-25,Headphones,very happy product
315,Anitha,Support team was very helpful,2025-05-03,E-commerce,support team very helpful
316,Suresh,Support team was very helpful,2025-12-05,E-commerce,support team very helpful
317,Pooja,Very bad experience and disappointed,2025-08-07,Mobile,very bad experience disappointed
318,Pooja,Delivery was too late,2025-03-15,Headphones,delivery too late
319,Divya,Worst product ever,2025-01-05,Smart Watch,worst product ever
320,Anitha,Very bad experience and disappointed,2025-05-22,Mobile App,very bad experience disappointed
321,Arun,Okay for the price,2025-06-03,Mobile App,okay price
322,Suresh,Very happy with the product,2025-10-18,Laptop,very happy product
323,Divya,Support team was very helpful,2025-07-20,Laptop,support team very helpful
324,Priya,Worst product ever,2025-03-15,Mobile,worst product ever
325,Rahul,Very happy with the product,2025-12-30,Internet Service,very happy product
326,Sneha,Very bad experience and disappointed,2025-09-19,Laptop,very bad experience disappointed
327,Anitha,"Amazing experience, highly recommend",2025-04-24,Mobile,amazing experience highly recommend
328,Pooja,Okay for the price,2025-02-09,Banking App,okay price
329,Suresh,"Amazing experience, highly recommend",2025-11-23,Internet Service,amazing experience highly recommend
330,Manoj,Decent product,2025-05-16,Internet Service,decent product
331,Priya,Great service and fast delivery,2025-12-11,Banking App,great service fast delivery
332,Karthik,Very bad experience and disappointed,2025-06-28,Laptop,very bad experience disappointed
333,Divya,Support team was very helpful,2025-12-15,Banking App,support team very helpful
334,Manoj,Very happy with the product,2025-09-21,Internet Service,very happy product
335,Suresh,Average experience,2025-07-04,Mobile App,average experience
336,Divya,Very happy with the product,2025-01-15,E-commerce,very happy product
337,Anitha,Nothing special,2025-03-10,Headphones,nothing special
338,Karthik,Customer support did not respond,2025-01-28,Banking App,customer support did not respond
339,Priya,Decent product,2025-04-12,E-commerce,decent product
340,Sneha,Poor quality and waste of money,2025-09-04,Mobile,poor quality waste money
341,Sneha,Delivery was too late,2025-02-11,E-commerce,delivery too late
342,Arun,"Amazing experience, highly recommend",2025-09-25,Banking App,amazing experience highly recommend
343,Manoj,"Amazing experience, highly recommend",2025-10-01,Laptop,amazing experience highly recommend
344,Divya,Okay for the price,2025-10-17,Headphones,okay price
345,Arun,Worst product ever,2025-05-12,Smart Watch,worst product ever
346,Anitha,Poor quality and waste of money,2025-09-16,Laptop,poor quality waste money
347,Rahul,Customer support did not respond,2025-02-26,Banking App,customer support did not respond
348,Suresh,Delivery was too late,2025-10-20,E-commerce,delivery too late
349,Rahul,Average experience,2025-10-31,Internet Service,average experience
350,Manoj,Nothing special,2025-01-23,Banking App,nothing special
351,Arun,Okay for the price,2025-11-27,Mobile App,okay price
352,Anitha,Worst product ever,2025-06-22,Mobile,worst product ever
353,Pooja,Delivery was too late,2025-03-30,Mobile,delivery too late
354,Priya,Great service and fast delivery,2025-05-17,E-commerce,great service fast delivery
355,Suresh,Very happy with the product,2025-10-10,Mobile App,very happy product
356,Suresh,Nothing special,2025-08-10,Mobile,nothing special
357,Manoj,Worst product ever,2025-11-06,Internet Service,worst product ever
358,Pooja,Poor quality and waste of money,2025-10-17,Smart Watch,poor quality waste money
359,Divya,Worst product ever,2025-03-03,Laptop,worst product ever
360,Priya,Very bad experience and disappointed,2025-10-29,Internet Service,very bad experience disappointed
361,Pooja,Excellent quality and very satisfied,2025-08-18,Headphones,excellent quality very satisfied
362,Karthik,Acceptable performance,2025-10-14,Smart Watch,acceptable performance
363,Suresh,Nothing special,2025-03-21,Smart Watch,nothing special
364,Karthik,Very bad experience and disappointed,2025-06-05,E-commerce,very bad experience disappointed
365,Arun,"Amazing experience, highly recommend",2025-07-18,Internet Service,amazing experience highly recommend
366,Manoj,Worst product ever,2025-07-04,Banking App,worst product ever
367,Anitha,Very bad experience and disappointed,2025-07-21,Laptop,very bad experience disappointed
368,Manoj,Customer support did not respond,2025-07-25,Mobile,customer support did not respond
369,Divya,Nothing special,2025-07-03,Smart Watch,nothing special
370,Karthik,Poor quality and waste of money,2025-09-20,Headphones,poor quality waste money
371,Suresh,Excellent quality and very satisfied,2025-07-22,E-commerce,excellent quality very satisfied
372,Manoj,Very bad experience and disappointed,2025-05-16,Smart Watch,very bad experience disappointed
373,Rahul,Delivery was too late,2025-10-24,E-commerce,delivery too late
374,Divya,Support team was very helpful,2025-01-31,Smart Watch,support team very helpful
375,Rahul,Great service and fast delivery,2025-09-28,Headphones,great service fast delivery
376,Sneha,Decent product,2025-07-21,Banking App,decent product
377,Karthik,Acceptable performance,2025-05-23,Banking App,acceptable performance
378,Karthik,Great service and fast delivery,2025-05-22,Headphones,great service fast delivery
379,Divya,Delivery was too late,2025-07-24,Banking App,delivery too late
380,Divya,Nothing special,2025-05-01,Mobile App,nothing special
381,Priya,"Amazing experience, highly recommend",2025-01-05,Smart Watch,amazing experience highly recommend
382,Priya,Worst product ever,2025-04-29,Internet Service,worst product ever
383,Divya,Okay for the price,2025-10-03,E-commerce,okay price
384,Sneha,Decent product,2025-06-01,E-commerce,decent product
385,Suresh,"Amazing experience, highly recommend",2025-04-06,Internet Service,amazing experience highly recommend
386,Rahul,Very bad experience and disappointed,2025-09-29,E-commerce,very bad experience disappointed
387,Divya,Decent product,2025-05-25,Laptop,decent product
388,Divya,Nothing special,2025-01-02,Internet Service,nothing special
389,Karthik,Excellent quality and very satisfied,2025-01-29,E-commerce,excellent quality very satisfied
390,Sneha,Average experience,2025-07-13,Mobile App,average experience
391,Rahul,Customer support did not respond,2025-01-19,E-commerce,customer support did not respond
392,Priya,Average experience,2025-04-06,E-commerce,average experience
393,Priya,Poor quality and waste of money,2025-09-25,Mobile App,poor quality waste money
394,Arun,Okay for the price,2025-02-11,Laptop,okay price
395,Pooja,Decent product,2025-11-22,Headphones,decent product
396,Manoj,Okay for the price,2025-11-08,Mobile App,okay price
397,Priya,Worst product ever,2025-06-28,Internet Service,worst product ever
398,Pooja,Decent product,2025-04-15,Headphones,decent product
