feedback_id,customer_name,feedback,date,product,clean_feedback,sentiment,confidence_score
71,Manoj,Nothing special,2025-10-18,Banking App,nothing special,positive,0.35714285714285715
72,Anitha,Very happy with the product,2025-07-07,Laptop,very happy product,positive,1.0
73,Sneha,Average experience,2025-04-08,Laptop,average experience,negative,-0.15
74,Priya,"Amazing experience, highly recommend",2025-10-14,E-commerce,amazing experience highly recommend,positive,0.38000000000000006
75,Priya,"Amazing experience, highly recommend",2026-01-01,Banking App,amazing experience highly recommend,positive,0.38000000000000006
76,Arun,Acceptable performance,2025-08-12,Smart Watch,acceptable performance,neutral,0.0
77,Rahul,Average experience,2025-12-30,Internet Service,average experience,negative,-0.15
78,Arun,Great service and fast delivery,2025-01-07,Laptop,great service fast delivery,positive,0.5
79,Manoj,Worst product ever,2025-10-26,Mobile,worst product ever,negative,-1.0
80,Karthik,Great service and fast delivery,2025-04-23,Headphones,great service fast delivery,positive,0.5
81,Anitha,Worst product ever,2025-01-02,E-commerce,worst product ever,negative,-1.0
82,Divya,"Amazing experience, highly recommend",2025-07-10,Headphones,amazing experience highly recommend,positive,0.38000000000000006
83,Priya,Okay for the price,2025-03-03,Banking App,okay price,positive,0.5
84,Suresh,Very happy with the product,2025-08-28,Headphones,very happy product,positive,1.0
85,Karthik,Very happy with the product,2025-06-20,Mobile App,very happy product,positive,1.0
86,Rahul,Poor quality and waste of money,2025-11-23,Internet Service,poor quality waste money,negative,-0.30000000000000004
87,Sneha,Nothing special,2025-02-02,Mobile,nothing special,positive,0.35714285714285715
88,Sneha,Worst product ever,2025-06-10,Laptop,worst product ever,negative,-1.0
89,Anitha,Nothing special,2025-05-03,Smart Watch,nothing special,positive,0.35714285714285715
90,Manoj,Average experience,2025-06-10,Banking App,average experience,negative,-0.15
91,Rahul,Average experience,2025-04-13,Headphones,average experience,negative,-0.15
92,Suresh,Poor quality and waste of money,2025-08-30,Mobile App,poor quality waste money,negative,-0.30000000000000004
93,Anitha,Worst product ever,2025-09-30,Banking App,worst product ever,negative,-1.0
94,Manoj,Delivery was too late,2025-08-07,Headphones,delivery too late,negative,-0.3
95,Arun,Worst product ever,2025-08-01,E-commerce,worst product ever,negative,-1.0
96,Arun,Okay for the price,2025-01-19,Internet Service,okay price,positive,0.5
97,Anitha,Excellent quality and very satisfied,2025-03-11,Laptop,excellent quality very satisfied,positive,0.825
98,Manoj,"Amazing experience, highly recommend",2025-01-16,E-commerce,amazing experience highly recommend,positive,0.38000000000000006
99,Priya,Great service and fast delivery,2025-01-31,Banking App,great service fast delivery,positive,0.5
100,Pooja,Very bad experience and disappointed,2025-01-31,Smart Watch,very bad experience disappointed,negative,-0.8299999999999998
101,Priya,Support team was very helpful,2025-06-18,Mobile,support team very helpful,positive,0.2
102,Rahul,Poor quality and waste of money,2025-02-07,Banking App,poor quality waste money,negative,-0.30000000000000004
103,Pooja,Very bad experience and disappointed,2025-12-19,Mobile,very bad experience disappointed,negative,-0.8299999999999998
104,Pooja,Customer support did not respond,2025-11-30,Mobile,customer support did not respond,neutral,0.0
105,Karthik,Nothing special,2025-11-12,Laptop,nothing special,positive,0.35714285714285715
106,Anitha,Average experience,2025-11-01,Smart Watch,average experience,negative,-0.15
107,Priya,Poor quality and waste of money,2025-08-13,E-commerce,poor quality waste money,negative,-0.30000000000000004
108,Divya,Acceptable performance,2025-12-28,Headphones,acceptable performance,neutral,0.0
109,Manoj,Support team was very helpful,2025-04-09,Mobile App,support team very helpful,positive,0.2
110,Rahul,Decent product,2025-12-31,Banking App,decent product,positive,0.16666666666666666
111,Manoj,Acceptable performance,2025-10-25,Mobile App,acceptable performance,neutral,0.0
112,Pooja,"Amazing experience, highly recommend",2025-05-15,Headphones,amazing experience highly recommend,positive,0.38000000000000006
113,Arun,Average experience,2025-01-07,Laptop,average experience,negative,-0.15
114,Divya,"Amazing experience, highly recommend",2025-07-27,Internet Service,amazing experience highly recommend,positive,0.38000000000000006
115,Karthik,Very bad experience and disappointed,2025-03-21,Mobile,very bad experience disappointed,negative,-0.8299999999999998
116,Sneha,"Amazing experience, highly recommend",2025-04-14,E-commerce,amazing experience highly recommend,positive,0.38000000000000006
117,Karthik,Worst product ever,2025-06-11,Mobile App,worst product ever,negative,-1.0
118,Rahul,"Amazing experience, highly recommend",2025-07-04,Mobile,amazing experience highly recommend,positive,0.38000000000000006
119,Divya,Support team was very helpful,2025-05-20,E-commerce,support team very helpful,positive,0.2
120,Rahul,"Amazing experience, highly recommend",2025-12-22,Mobile,amazing experience highly recommend,positive,0.38000000000000006
121,Karthik,Customer support did not respond,2025-08-21,Internet Service,customer support did not respond,neutral,0.0
122,Sneha,"Amazing experience, highly recommend",2025-04-14,Mobile App,amazing experience highly recommend,positive,0.38000000000000006
123,Pooja,"Amazing experience, highly recommend",2025-01-26,E-commerce,amazing experience highly recommend,positive,0.38000000000000006
124,Arun,Okay for the price,2025-08-23,Laptop,okay price,positive,0.5
125,Divya,Support team was very helpful,2025-05-09,Smart Watch,support team very helpful,positive,0.2
126,Rahul,Poor quality and waste of money,2025-09-02,E-commerce,poor quality waste money,negative,-0.30000000000000004
127,Suresh,Nothing special,2025-11-24,Banking App,nothing special,positive,0.35714285714285715
128,Anitha,Customer support did not respond,2025-01-19,Smart Watch,customer support did not respond,neutral,0.0
129,Sneha,Very bad experience and disappointed,2025-04-19,Mobile App,very bad experience disappointed,negative,-0.8299999999999998
130,Pooja,Customer support did not respond,2025-03-11,Internet Service,customer support did not respond,neutral,0.0
131,Karthik,Worst product ever,2025-03-16,E-commerce,worst product ever,negative,-1.0
132,Anitha,Nothing special,2025-12-06,Headphones,nothing special,positive,0.35714285714285715
133,Karthik,Excellent quality and very satisfied,2025-01-29,Headphones,excellent quality very satisfied,positive,0.825
134,Divya,Nothing special,2025-01-31,Headphones,nothing special,positive,0.35714285714285715
135,Suresh,Great service and fast delivery,2025-08-30,Mobile App,great service fast delivery,positive,0.5
136,Suresh,Average experience,2025-05-06,Headphones,average experience,negative,-0.15
137,Karthik,Delivery was too late,2025-06-14,E-commerce,delivery too late,negative,-0.3
138,Anitha,"Amazing experience, highly recommend",2025-07-15,Banking App,amazing experience highly recommend,positive,0.38000000000000006
139,Arun,Okay for the price,2025-05-10,Mobile App,okay price,positive,0.5
140,Sneha,Great service and fast delivery,2025-02-27,E-commerce,great service fast delivery,positive,0.5
141,Suresh,Okay for the price,2025-03-28,Mobile App,okay price,positive,0.5
142,Divya,Delivery was too late,2025-09-15,Laptop,delivery too late,negative,-0.3
143,Priya,Nothing special,2025-11-22,Smart Watch,nothing special,positive,0.35714285714285715
144,Pooja,Acceptable performance,2025-07-19,Mobile,acceptable performance,neutral,0.0
145,Arun,"Amazing experience, highly recommend",2025-05-05,Mobile,amazing experience highly recommend,positive,0.38000000000000006
146,Rahul,Very bad experience and disappointed,2025-08-24,Headphones,very bad experience disappointed,negative,-0.8299999999999998
147,Rahul,Poor quality and waste of money,2025-12-21,Mobile App,poor quality waste money,negative,-0.30000000000000004
148,Pooja,Average experience,2025-06-23,Laptop,average experience,negative,-0.15
149,Rahul,Average experience,2025-05-01,Mobile,average experience,negative,-0.15
150,Anitha,Delivery was too late,2025-07-27,E-commerce,delivery too late,negative,-0.3
151,Priya,Okay for the price,2025-11-18,Internet Service,okay price,positive,0.5
152,Pooja,Average experience,2025-11-14,Smart Watch,average experience,negative,-0.15
153,Priya,Average experience,2025-04-04,Laptop,average experience,negative,-0.15
154,Karthik,Very happy with the product,2025-03-17,Banking App,very happy product,positive,1.0
155,Suresh,Acceptable performance,2025-06-30,Laptop,acceptable performance,neutral,0.0
156,Divya,Poor quality and waste of money,2025-10-13,Banking App,poor quality waste money,negative,-0.30000000000000004
157,Suresh,Great service and fast delivery,2025-02-23,Mobile App,great service fast delivery,positive,0.5
158,Priya,Acceptable performance,2025-03-27,Mobile,acceptable performance,neutral,0.0
159,Manoj,Support team was very helpful,2025-05-07,E-commerce,support team very helpful,positive,0.2
160,Manoj,Great service and fast delivery,2025-08-10,Headphones,great service fast delivery,positive,0.5
161,Suresh,Nothing special,2025-01-06,E-commerce,nothing special,positive,0.35714285714285715
162,Manoj,Delivery was too late,2025-02-19,Mobile,delivery too late,negative,-0.3
163,Pooja,Decent product,2025-11-12,Smart Watch,decent product,positive,0.16666666666666666
164,Sneha,Support team was very helpful,2025-10-27,Smart Watch,support team very helpful,positive,0.2
165,Karthik,Customer support did not respond,2025-02-23,Internet Service,customer support did not respond,neutral,0.0
166,Karthik,Support team was very helpful,2025-09-17,Smart Watch,support team very helpful,positive,0.2
167,Rahul,"Amazing experience, highly recommend",2025-03-14,Mobile App,amazing experience highly recommend,positive,0.38000000000000006
168,Arun,Worst product ever,2025-07-30,E-commerce,worst product ever,negative,-1.0
169,Anitha,Decent product,2025-08-20,Internet Service,decent product,positive,0.16666666666666666
170,Pooja,"Amazing experience, highly recommend",2025-02-01,E-commerce,amazing experience highly recommend,positive,0.38000000000000006
171,Pooja,Delivery was too late,2025-12-11,Headphones,delivery too late,negative,-0.3
172,Sneha,Nothing special,2025-10-22,Headphones,nothing special,positive,0.35714285714285715
173,Karthik,Very bad experience and disappointed,2025-03-10,E-commerce,very bad experience disappointed,negative,-0.8299999999999998
174,Divya,Acceptable performance,2025-12-10,Smart Watch,acceptable performance,neutral,0.0
175,Manoj,Excellent quality and very satisfied,2025-06-30,Headphones,excellent quality very satisfied,positive,0.825
176,Divya,Support team was very helpful,2025-01-11,Laptop,support team very helpful,positive,0.2
177,Manoj,Support team was very helpful,2025-05-18,Mobile,support team very helpful,positive,0.2
178,Arun,Customer support did not respond,2025-08-10,Smart Watch,customer support did not respond,neutral,0.0
179,Anitha,Support team was very helpful,2025-02-15,Mobile App,support team very helpful,positive,0.2
180,Sneha,Average experience,2025-08-18,Mobile App,average experience,negative,-0.15
181,Priya,Average experience,2025-05-06,Headphones,average experience,negative,-0.15
182,Anitha,Support team was very helpful,2025-03-07,Laptop,support team very helpful,positive,0.2
183,Divya,Acceptable performance,2025-09-09,E-commerce,acceptable performance,neutral,0.0
184,Suresh,Poor quality and waste of money,2025-11-11,Mobile App,poor quality waste money,negative,-0.30000000000000004
185,Anitha,Decent product,2025-11-13,Laptop,decent product,positive,0.16666666666666666
186,Divya,Average experience,2025-03-03,Laptop,average experience,negative,-0.15
187,Arun,Nothing special,2025-04-22,Headphones,nothing special,positive,0.35714285714285715
188,Pooja,Average experience,2025-05-19,Smart Watch,average experience,negative,-0.15
189,Manoj,Very bad experience and disappointed,2025-10-17,Mobile,very bad experience disappointed,negative,-0.8299999999999998
190,Sneha,Very happy with the product,2025-01-05,Internet Service,very happy product,positive,1.0
191,Rahul,Acceptable performance,2025-03-01,Mobile App,acceptable performance,neutral,0.0
192,Priya,"Amazing experience, highly recommend",2025-10-26,Internet Service,amazing experience highly recommend,positive,0.38000000000000006
193,Divya,Very bad experience and disappointed,2025-07-07,E-commerce,very bad experience disappointed,negative,-0.8299999999999998
194,Divya,Decent product,2025-08-24,Laptop,decent product,positive,0.16666666666666666
195,Rahul,Great service and fast delivery,2025-01-09,Banking App,great service fast delivery,positive,0.5
196,Sneha,Delivery was too late,2025-09-26,Mobile,delivery too late,negative,-0.3
197,Anitha,Worst product ever,2025-03-28,Mobile,worst product ever,negative,-1.0
198,Pooja,Very bad experience and disappointed,2025-04-03,E-commerce,very bad experience disappointed,negative,-0.8299999999999998
199,Suresh,Very bad experience and disappointed,2025-05-16,Headphones,very bad experience disappointed,negative,-0.8299999999999998
200,Divya,Decent product,2025-04-05,Smart Watch,decent product,positive,0.16666666666666666
201,Arun,Great service and fast delivery,2025-11-11,Mobile App,great service fast delivery,positive,0.5
202,Suresh,Decent product,2025-02-21,E-commerce,decent product,positive,0.16666666666666666
203,Anitha,Acceptable performance,2025-07-11,Smart Watch,acceptable performance,neutral,0.0
204,Divya,"Amazing experience, highly recommend",2025-05-31,Laptop,amazing experience highly recommend,positive,0.38000000000000006
205,Anitha,Very happy with the product,2025-07-27,Mobile,very happy product,positive,1.0
206,Sneha,Delivery was too late,2025-04-16,Mobile,delivery too late,negative,-0.3
207,Manoj,Very happy with the product,2025-12-15,Internet Service,very happy product,positive,1.0
208,Suresh,Acceptable performance,2025-11-30,Headphones,acceptable performance,neutral,0.0
209,Pooja,Acceptable performance,2025-08-07,Banking App,acceptable performance,neutral,0.0
210,Divya,Acceptable performance,2025-05-04,Mobile App,acceptable performance,neutral,0.0
211,Pooja,Nothing special,2025-01-19,Smart Watch,nothing special,positive,0.35714285714285715
212,Priya,"Amazing experience, highly recommend",2025-03-27,Banking App,amazing experience highly recommend,positive,0.38000000000000006
213,Pooja,Acceptable performance,2025-10-20,Mobile App,acceptable performance,neutral,0.0
214,Divya,Great service and fast delivery,2025-09-30,Headphones,great service fast delivery,positive,0.5
215,Karthik,Excellent quality and very satisfied,2025-06-21,Smart Watch,excellent quality very satisfied,positive,0.825
216,Karthik,Nothing special,2025-07-06,Mobile App,nothing special,positive,0.35714285714285715
217,Divya,Excellent quality and very satisfied,2025-07-10,Laptop,excellent quality very satisfied,positive,0.825
218,Sneha,Okay for the price,2025-02-03,Laptop,okay price,positive,0.5
219,Priya,Very bad experience and disappointed,2025-06-14,Internet Service,very bad experience disappointed,negative,-0.8299999999999998
220,Arun,Excellent quality and very satisfied,2025-08-22,Headphones,excellent quality very satisfied,positive,0.825
221,Rahul,Acceptable performance,2025-09-22,Internet Service,acceptable performance,neutral,0.0
222,Anitha,Support team was very helpful,2025-12-07,Smart Watch,support team very helpful,positive,0.2
223,Karthik,Very happy with the product,2025-08-12,Laptop,very happy product,positive,1.0
224,Pooja,"Amazing experience, highly recommend",2025-02-03,Headphones,amazing experience highly recommend,positive,0.38000000000000006
225,Sneha,Decent product,2026-01-01,Laptop,decent product,positive,0.16666666666666666
226,Manoj,Decent product,2025-02-04,Mobile,decent product,positive,0.16666666666666666
227,Rahul,Okay for the price,2025-11-30,Mobile App,okay price,positive,0.5
228,Arun,Decent product,2025-02-04,Headphones,decent product,positive,0.16666666666666666
229,Divya,Okay for the price,2025-09-30,Headphones,okay price,positive,0.5
230,Arun,Okay for the price,2025-07-07,Mobile App,okay price,positive,0.5
231,Pooja,Excellent quality and very satisfied,2025-11-14,Headphones,excellent quality very satisfied,positive,0.825
232,Sneha,Poor quality and waste of money,2025-01-06,Laptop,poor quality waste money,negative,-0.30000000000000004
233,Sneha,Great service and fast delivery,2025-03-07,Mobile,great service fast delivery,positive,0.5
234,Divya,Decent product,2025-11-01,E-commerce,decent product,positive,0.16666666666666666
235,Pooja,Worst product ever,2025-08-16,Mobile App,worst product ever,negative,-1.0
236,Divya,Support team was very helpful,2025-07-20,Headphones,support team very helpful,positive,0.2
237,Pooja,"Amazing experience, highly recommend",2025-06-24,Headphones,amazing experience highly recommend,positive,0.38000000000000006
238,Divya,Delivery was too late,2025-05-26,Internet Service,delivery too late,negative,-0.3
239,Suresh,Worst product ever,2025-07-31,Headphones,worst product ever,negative,-1.0
240,Divya,Decent product,2025-12-06,Smart Watch,decent product,positive,0.16666666666666666
241,Rahul,Delivery was too late,2025-01-15,E-commerce,delivery too late,negative,-0.3
242,Divya,Nothing special,2025-01-11,Mobile App,nothing special,positive,0.35714285714285715
243,Karthik,Customer support did not respond,2025-08-01,Banking App,customer support did not respond,neutral,0.0
244,Priya,"Amazing experience, highly recommend",2025-11-07,E-commerce,amazing experience highly recommend,positive,0.38000000000000006
245,Sneha,Customer support did not respond,2025-06-01,Mobile,customer support did not respond,neutral,0.0
246,Manoj,Delivery was too late,2025-04-04,E-commerce,delivery too late,negative,-0.3
247,Suresh,Nothing special,2025-01-12,Banking App,nothing special,positive,0.35714285714285715
248,Sneha,Okay for the price,2025-11-08,E-commerce,okay price,positive,0.5
249,Arun,Very bad experience and disappointed,2025-12-10,Internet Service,very bad experience disappointed,negative,-0.8299999999999998
250,Suresh,Excellent quality and very satisfied,2025-08-13,Laptop,excellent quality very satisfied,positive,0.825
251,Pooja,"Amazing experience, highly recommend",2025-09-05,Internet Service,amazing experience highly recommend,positive,0.38000000000000006
252,Arun,Poor quality and waste of money,2025-08-07,Headphones,poor quality waste money,negative,-0.30000000000000004
253,Manoj,Delivery was too late,2025-02-21,Internet Service,delivery too late,negative,-0.3
254,Priya,Very bad experience and disappointed,2025-04-04,Laptop,very bad experience disappointed,negative,-0.8299999999999998
255,Pooja,Very happy with the product,2025-02-14,E-commerce,very happy product,positive,1.0
256,Manoj,Excellent quality and very satisfied,2025-01-01,Mobile App,excellent quality very satisfied,positive,0.825
257,Priya,Very bad experience and disappointed,2025-04-03,Internet Service,very bad experience disappointed,negative,-0.8299999999999998
258,Karthik,Nothing special,2025-03-22,Mobile,nothing special,positive,0.35714285714285715
259,Arun,Okay for the price,2025-11-16,Headphones,okay price,positive,0.5
260,Priya,Poor quality and waste of money,2025-06-19,Mobile,poor quality waste money,negative,-0.30000000000000004
261,Priya,Average experience,2025-10-31,Internet Service,average experience,negative,-0.15
262,Arun,"Amazing experience, highly recommend",2025-08-13,Headphones,amazing experience highly recommend,positive,0.38000000000000006
263,Divya,"Amazing experience, highly recommend",2025-01-29,Smart Watch,amazing experience highly recommend,positive,0.38000000000000006
264,Suresh,"Amazing experience, highly recommend",2025-05-03,Banking App,amazing experience highly recommend,positive,0.38000000000000006
265,Priya,Poor quality and waste of money,2025-12-23,Mobile App,poor quality waste money,negative,-0.30000000000000004
266,Pooja,Worst product ever,2025-08-23,Smart Watch,worst product ever,negative,-1.0
267,Priya,Okay for the price,2025-04-19,Mobile,okay price,positive,0.5
268,Priya,Very happy with the product,2025-10-29,Headphones,very happy product,positive,1.0
269,Divya,Okay for the price,2025-09-19,Internet Service,okay price,positive,0.5
270,Sneha,Acceptable performance,2025-06-02,E-commerce,acceptable performance,neutral,0.0
271,Divya,Very bad experience and disappointed,2025-12-05,Banking App,very bad experience disappointed,negative,-0.8299999999999998
272,Divya,Very happy with the product,2025-05-16,E-commerce,very happy product,positive,1.0
273,Arun,Acceptable performance,2025-04-02,Smart Watch,acceptable performance,neutral,0.0
274,Rahul,Acceptable performance,2025-10-23,E-commerce,acceptable performance,neutral,0.0
275,Anitha,Very happy with the product,2025-03-21,Mobile App,very happy product,positive,1.0
276,Rahul,Nothing special,2025-10-17,Mobile,nothing special,positive,0.35714285714285715
277,Sneha,Worst product ever,2025-11-12,Headphones,worst product ever,negative,-1.0
278,Rahul,Worst product ever,2025-10-10,E-commerce,worst product ever,negative,-1.0
279,Suresh,Worst product ever,2025-09-04,Mobile App,worst product ever,negative,-1.0
280,Pooja,Great service and fast delivery,2025-05-15,Banking App,great service fast delivery,positive,0.5
281,Sneha,"Amazing experience, highly recommend",2025-04-01,Headphones,amazing experience highly recommend,positive,0.38000000000000006
282,Anitha,Poor quality and waste of money,2025-01-24,Headphones,poor quality waste money,negative,-0.30000000000000004
283,Pooja,Okay for the price,2025-07-12,Mobile App,okay price,positive,0.5
284,Anitha,Customer support did not respond,2025-04-01,Internet Service,customer support did not respond,neutral,0.0
285,Priya,Okay for the price,2025-07-27,Laptop,okay price,positive,0.5
286,Rahul,Worst product ever,2025-08-19,Mobile App,worst product ever,negative,-1.0
287,Pooja,Support team was very helpful,2025-12-23,Banking App,support team very helpful,positive,0.2
288,Suresh,Nothing special,2025-04-13,Laptop,nothing special,positive,0.35714285714285715
289,Anitha,Decent product,2025-06-14,Banking App,decent product,positive,0.16666666666666666
290,Suresh,Customer support did not respond,2025-10-31,Headphones,customer support did not respond,neutral,0.0
291,Anitha,Customer support did not respond,2025-01-27,Mobile,customer support did not respond,neutral,0.0
292,Rahul,Customer support did not respond,2025-04-08,Headphones,customer support did not respond,neutral,0.0
293,Pooja,Poor quality and waste of money,2025-04-21,Headphones,poor quality waste money,negative,-0.30000000000000004
294,Priya,Nothing special,2025-05-09,Laptop,nothing special,positive,0.35714285714285715
295,Pooja,Average experience,2025-01-27,E-commerce,average experience,negative,-0.15
296,Suresh,Decent product,2025-06-02,Mobile App,decent product,positive,0.16666666666666666
297,Pooja,Excellent quality and very satisfied,2025-07-22,Laptop,excellent quality very satisfied,positive,0.825
298,Priya,Excellent quality and very satisfied,2025-06-07,Internet Service,excellent quality very satisfied,positive,0.825
299,Karthik,Poor quality and waste of money,2025-07-27,Banking App,poor quality waste money,negative,-0.30000000000000004
300,Suresh,Okay for the price,2025-12-06,Headphones,okay price,positive,0.5
301,Priya,Okay for the price,2025-06-10,E-commerce,okay price,positive,0.5
302,Priya,Excellent quality and very satisfied,2025-09-28,Mobile,excellent quality very satisfied,positive,0.825
303,Pooja,Delivery was too late,2025-03-13,Headphones,delivery too late,negative,-0.3
304,Arun,Great service and fast delivery,2025-02-06,Smart Watch,great service fast delivery,positive,0.5
305,Karthik,Average experience,2025-05-30,Mobile App,average experience,negative,-0.15
306,Pooja,Support team was very helpful,2025-06-11,E-commerce,support team very helpful,positive,0.2
307,Priya,Delivery was too late,2025-03-22,Mobile App,delivery too late,negative,-0.3
308,Priya,Excellent quality and very satisfied,2025-02-05,Internet Service,excellent quality very satisfied,positive,0.825
309,Sneha,Support team was very helpful,2025-11-28,Headphones,support team very helpful,positive,0.2
310,Anitha,Decent product,2025-01-31,Mobile,decent product,positive,0.16666666666666666
311,Sneha,Okay for the price,2025-08-13,Internet Service,okay price,positive,0.5
312,Anitha,Nothing special,2025-03-17,Banking App,nothing special,positive,0.35714285714285715
313,Rahul,Acceptable performance,2025-11-01,E-commerce,acceptable performance,neutral,0.0
314,Anitha,Very happy with the product,2025-06-25,Headphones,very happy product,positive,1.0
